[2019-10-26T21:22:12.674] [TRACE] wildseve - Syncing started.....
[2019-10-26T21:22:12.674] [TRACE] wildseve - Form Syncing :: _Y5_M4_
[2019-10-26T21:22:13.674] [TRACE] wildseve - Syncing HWC . . . . 
[2019-10-26T21:22:15.960] [TRACE] wildseve - Total Records to Sync - 80
[2019-10-26T21:22:54.618] [TRACE] wildseve - HWC Record inserted : 1 :: 1
[2019-10-26T21:22:56.198] [TRACE] wildseve - HWC Record inserted : 1 :: 2
[2019-10-26T21:22:56.482] [TRACE] wildseve - HWC Record inserted : 1 :: 3
[2019-10-26T21:22:56.764] [TRACE] wildseve - HWC Record inserted : 1 :: 4
[2019-10-26T21:23:01.530] [TRACE] wildseve - HWC Record inserted : 1 :: 5
[2019-10-26T21:23:01.824] [TRACE] wildseve - HWC Record inserted : 1 :: 6
[2019-10-26T21:23:02.847] [TRACE] wildseve - HWC Record inserted : 1 :: 7
[2019-10-26T21:23:05.122] [TRACE] wildseve - HWC Record inserted : 1 :: 8
[2019-10-26T21:23:05.404] [TRACE] wildseve - HWC Record inserted : 1 :: 9
[2019-10-26T21:23:05.944] [TRACE] wildseve - HWC Record inserted : 1 :: 10
[2019-10-26T21:23:06.227] [TRACE] wildseve - HWC Record inserted : 1 :: 11
[2019-10-26T21:23:07.244] [TRACE] wildseve - HWC Record inserted : 1 :: 12
[2019-10-26T21:23:08.582] [TRACE] wildseve - HWC Record inserted : 1 :: 13
[2019-10-26T21:23:09.578] [TRACE] wildseve - HWC Record inserted : 1 :: 14
[2019-10-26T21:23:09.860] [TRACE] wildseve - HWC Record inserted : 1 :: 15
[2019-10-26T21:23:10.393] [TRACE] wildseve - HWC Record inserted : 1 :: 16
[2019-10-26T21:23:11.498] [TRACE] wildseve - HWC Record inserted : 1 :: 17
[2019-10-26T21:23:11.780] [TRACE] wildseve - HWC Record inserted : 1 :: 18
[2019-10-26T21:23:12.065] [TRACE] wildseve - HWC Record inserted : 1 :: 19
[2019-10-26T21:23:12.349] [TRACE] wildseve - HWC Record inserted : 1 :: 20
[2019-10-26T21:23:12.630] [TRACE] wildseve - HWC Record inserted : 1 :: 21
[2019-10-26T21:23:13.161] [TRACE] wildseve - HWC Record inserted : 1 :: 22
[2019-10-26T21:23:14.227] [TRACE] wildseve - HWC Record inserted : 1 :: 23
[2019-10-26T21:23:15.355] [TRACE] wildseve - HWC Record inserted : 1 :: 24
[2019-10-26T21:23:15.886] [TRACE] wildseve - HWC Record inserted : 1 :: 25
[2019-10-26T21:23:21.397] [TRACE] wildseve - HWC Flagged Record - 1 :: 111
[2019-10-26T21:23:21.937] [TRACE] wildseve - HWC Flagged Record - 1 :: 112
